"NUM_CNPJ,""ID_CIDADE"",""ID_CNAE"",""ORIGEM"""
"7439661000167,1676,330,""SPC"""
"9388110000147,2044,534,""CONCORRENTE"""
"29665879000172,7043,1080,""SPC"""
"15721598000185,3315,831,""SPC"""
"8739582000134,1844,389,""SPC"""
"22885208000178,5746,1014,""CONCORRENTE"""
"30916964000145,7067,1095,""SPC"""
"12889871000197,2587,640,""CONCORRENTE"""
"34906611000115,8377,1290,""SPC"""
"28042208000192,6994,1049,""SPC"""
"25444926000105,6297,1028,""CONCORRENTE"""
"7593550000100,1778,360,""CONCORRENTE"""
"1723925000123,243,160,""SPC"""
"13340276000160,2754,657,""CONCORRENTE"""
"35182854000110,8377,1295,""CONCORRENTE"""
"22838879000188,5721,1011,""SPC"""
"31787552000115,7254,1134,""SPC"""
"23443934000101,6015,1025,""SPC"""
"76746361000143,8741,,""SPC"""
"25738588000106,6396,1028,""CONCORRENTE"""
"21817470000112,5187,939,""SPC"""
"19137985000120,4220,846,""SPC"""
"31130983000104,7085,1105,""CONCORRENTE"""
"26653045000159,6870,1047,""CONCORRENTE"""
"13679381000129,2754,671,""SPC"""
"14534904000101,2884,749,""SPC"""
"24443000000124,6068,1028,""CONCORRENTE"""
"28853479000128,7043,1054,""SPC"""
"17269687000168,3689,833,""CONCORRENTE"""
"36384923000131,8521,,""CONCORRENTE"""
"28489507000170,7042,1050,""CONCORRENTE"""
"23838949000160,6015,1027,""SPC"""
"1498737000149,243,160,""CONCORRENTE"""
"35621391000146,8419,1303,""CONCORRENTE"""
"21112563000141,4904,924,""CONCORRENTE"""
"5977567000136,1347,179,""CONCORRENTE"""
"34361671000108,8146,1263,""CONCORRENTE"""
"7421087000110,1578,308,""CONCORRENTE"""
"20152346000112,4565,859,""CONCORRENTE"""
"12687330000186,2572,621,""SPC"""
"81853939000109,8796,,""CONCORRENTE"""
"8541369000113,1778,387,""SPC"""
"295445000146,16,48,""CONCORRENTE"""
"9138165000107,1942,395,""SPC"""
"92234558000150,9909,,""SPC"""
"10443566000141,2065,559,""SPC"""
"5816288000190,1300,178,""CONCORRENTE"""
"12098862000188,2349,602,""CONCORRENTE"""
"21902562000109,5225,939,""CONCORRENTE"""
"4587727000178,988,178,""SPC"""
"29411605000157,7043,1074,""CONCORRENTE"""
"7187908000103,1434,268,""CONCORRENTE"""
"8745605000113,1844,389,""SPC"""
"31532091000130,7221,1114,""CONCORRENTE"""
"91639070000140,9899,,""SPC"""
"628107005067,109,157,""CONCORRENTE"""
"22717521000105,5655,1007,""SPC"""
"7156836000129,1404,268,""SPC"""
"20157795000153,4565,859,""SPC"""
"30474722000149,7043,1094,""SPC"""
"22974272000125,5798,1016,""CONCORRENTE"""
"25916624000184,6523,1028,""SPC"""
"28158478000163,6994,1049,""SPC"""
"34376037000130,8151,1263,""SPC"""
"30494250000196,7043,1094,""CONCORRENTE"""
"32834818000104,7771,1191,""SPC"""
"32683965000112,7697,1156,""CONCORRENTE"""
"13216432000186,2754,655,""CONCORRENTE"""
"28413145000133,7017,1050,""SPC"""
"8931328000133,1910,395,""CONCORRENTE"""
"22858695000180,5721,1012,""CONCORRENTE"""
"958357000187,158,160,""CONCORRENTE"""
"23787565000166,6015,1026,""SPC"""
"30727665000162,7067,1095,""CONCORRENTE"""
"28852678000111,7043,1054,""CONCORRENTE"""
"6077543000193,1347,179,""CONCORRENTE"""
"19988963000173,4539,857,""CONCORRENTE"""
"14482348000177,2773,748,""SPC"""
"35677099000145,8452,1307,""SPC"""
"27735662000166,6989,1049,""SPC"""
"15748334000115,3333,833,""CONCORRENTE"""
"34754504000119,8357,1285,""CONCORRENTE"""
"17408157000153,3749,833,""SPC"""
"17630614000150,3860,838,""SPC"""
"2528358000117,579,162,""SPC"""
"23536417000179,6015,1025,""CONCORRENTE"""
"14533595000155,2854,749,""SPC"""
"26525812000144,6861,1046,""CONCORRENTE"""
"12059013000115,2298,602,""CONCORRENTE"""
"3857618000160,988,167,""SPC"""
"24539786000188,6091,1028,""CONCORRENTE"""
"20853465000100,4754,862,""SPC"""
"12047104000130,2293,600,""SPC"""
"29402711000174,7043,1074,""SPC"""
"7500453000126,1722,343,""SPC"""
"26136273000151,6734,1038,""SPC"""
"10755284000180,2174,586,""CONCORRENTE"""
"25918534000122,6554,1028,""CONCORRENTE"""
"20141694000194,4565,859,""SPC"""
"22844300000190,5721,1012,""SPC"""
"34746051000189,8357,1283,""CONCORRENTE"""
"32918676000155,7774,1194,""SPC"""
"6053639000111,1347,179,""CONCORRENTE"""
"19270960000108,4318,846,""SPC"""
"30436052000176,7043,1094,""CONCORRENTE"""
"30794621000155,7067,1095,""CONCORRENTE"""
"19788101000105,4416,853,""CONCORRENTE"""
"17263292000158,3683,833,""CONCORRENTE"""
"31280917000110,7121,1110,""SPC"""
"24941207000129,6178,1028,""SPC"""
"22879846000186,5724,1014,""SPC"""
"2840575000148,678,162,""CONCORRENTE"""
"14979433000145,2980,787,""CONCORRENTE"""
"19095339000147,4182,846,""CONCORRENTE"""
"13012847000138,2611,655,""CONCORRENTE"""
"2543156000144,582,162,""SPC"""
"22814789000157,5721,1010,""SPC"""
"8317921000194,1778,376,""SPC"""
"32247598000104,7501,1150,""SPC"""
"34685633000100,8294,1266,""SPC"""
"3824317000130,988,166,""SPC"""
"16818434000133,3506,833,""CONCORRENTE"""
"36023306000100,8509,1354,""CONCORRENTE"""
"72505480000153,8700,,""CONCORRENTE"""
"24120490000128,6015,1028,""SPC"""
"29441321000103,7043,1074,""CONCORRENTE"""
"14047678000134,2754,724,""CONCORRENTE"""
"64399009000108,8602,,""CONCORRENTE"""
"84437268000185,9793,,""CONCORRENTE"""
"34753671000145,8357,1285,""SPC"""
"4994537000175,1036,178,""SPC"""
"7128461000193,1377,235,""CONCORRENTE"""
"14529466000193,2845,749,""CONCORRENTE"""
"32724553000183,7700,1161,""CONCORRENTE"""
"18403221000176,4094,843,""CONCORRENTE"""
"8070525000105,1778,376,""SPC"""
"35742440000107,8452,1307,""CONCORRENTE"""
"15462753000196,3245,822,""CONCORRENTE"""
"11954444000182,2284,599,""SPC"""
"5103992000104,1064,178,""CONCORRENTE"""
"29767006000170,7043,1080,""CONCORRENTE"""
"5917324000102,1347,179,""CONCORRENTE"""
"34572683000173,8235,1263,""SPC"""
"4141266000105,988,178,""SPC"""
"40605495000105,8521,,""CONCORRENTE"""
"30937141000104,7067,1098,""SPC"""
