"ID_CIDADE,""DES_CIDADE"",""DES_SIGLA_ESTADO"",""DES_REGIAO_IBGE"""
"7394,""ALBARDAO"",""RS"",""SUL"""
"7395,""ALECRIM"",""RS"",""SUL"""
"7396,""ALEGRETE"",""RS"",""SUL"""
"7397,""ALEGRIA"",""RS"",""SUL"""
"7398,""ALFREDO BRENNER"",""RS"",""SUL"""
"7399,""ALMIRANTE TAMANDARE DO SUL"",""RS"",""SUL"""
"7400,""ALPESTRE"",""RS"",""SUL"""
"7402,""ALTO ALEGRE"",""RS"",""SUL"""
"7403,""ALTO DA UNIAO"",""RS"",""SUL"""
"7404,""ALTO FELIZ"",""RS"",""SUL"""
"7405,""ALTO PAREDAO"",""RS"",""SUL"""
"7406,""ALTO RECREIO"",""RS"",""SUL"""
"7407,""ALTO URUGUAI"",""RS"",""SUL"""
"7408,""ALVORADA"",""RS"",""SUL"""
"7409,""AMARAL FERRADOR"",""RS"",""SUL"""
"7411,""ANDRE DA ROCHA"",""RS"",""SUL"""
"7412,""ANTA GORDA"",""RS"",""SUL"""
"7413,""ANTONIO KERPEL"",""RS"",""SUL"""
"7414,""ANTONIO PRADO"",""RS"",""SUL"""
"7415,""ARAMBARE"",""RS"",""SUL"""
"7416,""ARARICA"",""RS"",""SUL"""
"7417,""ARATIBA"",""RS"",""SUL"""
"7418,""ARCO VERDE"",""RS"",""SUL"""
"7420,""ARROIO CANOAS"",""RS"",""SUL"""
"7421,""ARROIO DO MEIO"",""RS"",""SUL"""
"7422,""ARROIO DO PADRE"",""RS"",""SUL"""
"7423,""ARROIO DO SAL"",""RS"",""SUL"""
"7424,""ARROIO DO SO"",""RS"",""SUL"""
"7425,""ARROIO DO TIGRE"",""RS"",""SUL"""
"7426,""ARROIO DOS RATOS"",""RS"",""SUL"""
"7427,""ARROIO GRANDE"",""RS"",""SUL"""
"7429,""ARROIO GRANDE"",""RS"",""SUL"""
"7430,""ARVORE SO"",""RS"",""SUL"""
"7431,""ARVOREZINHA"",""RS"",""SUL"""
"7432,""ATAFONA"",""RS"",""SUL"""
"7433,""ATIACU"",""RS"",""SUL"""
"7434,""AUGUSTO PESTANA"",""RS"",""SUL"""
"7435,""AUREA"",""RS"",""SUL"""
"7436,""AVELINO PARANHOS"",""RS"",""SUL"""
"7437,""AZEVEDO SODRE"",""RS"",""SUL"""
"7439,""BAGE"",""RS"",""SUL"""
"7440,""BALIZA"",""RS"",""SUL"""
"7441,""BALNEARIO PINHAL"",""RS"",""SUL"""
"4233,""PRESIDENTE CASTELO"",""MS"",""CENTRO-OESTE"""
"4234,""PRUDENCIO THOMAZ"",""MS"",""CENTRO-OESTE"""
"4235,""QUEBRA COCO"",""MS"",""CENTRO-OESTE"""
"4236,""QUEBRACHO"",""MS"",""CENTRO-OESTE"""
"4237,""RIBAS DO RIO PARDO"",""MS"",""CENTRO-OESTE"""
"4238,""RIO BRILHANTE"",""MS"",""CENTRO-OESTE"""
"4239,""RIO NEGRO"",""MS"",""CENTRO-OESTE"""
"4240,""RIO VERDE DE MATO GROSSO"",""MS"",""CENTRO-OESTE"""
"4241,""ROCHEDINHO"",""MS"",""CENTRO-OESTE"""
"4242,""ROCHEDO"",""MS"",""CENTRO-OESTE"""
"4243,""SANGA PUITA"",""MS"",""CENTRO-OESTE"""
"4244,""SANTA RITA DO PARDO"",""MS"",""CENTRO-OESTE"""
"4245,""SANTA TEREZINHA"",""MS"",""CENTRO-OESTE"""
"4246,""SAO GABRIEL DO OESTE"",""MS"",""CENTRO-OESTE"""
"4247,""SAO JOAO DO APORE"",""MS"",""CENTRO-OESTE"""
